RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
394376,800,"Beeville, TX",Msa,TX,,132061,134750,136388,138069,139181,140359,141534,142673,143782,145138,
394855,801,"Miami, OK",Msa,OK,77671,78587,79718,80432,81391,82402,83445,84227,84899,85423,85868,
753878,802,"Dayton, TN",Msa,TN,159986,163494,166715,168022,169368,170882,172957,174704,176437,177188,177825,
395207,803,"Washington, IN",Msa,IN,,153391,156702,158261,159825,161629,163282,165054,166402,168029,169234,171920
394435,807,"Camden, AR",Msa,AR,59730,59046,59834,60304,60828,61182,61441,61647,62210,62669,63047,64036
394713,808,"Jackson, WY",Msa,WY,739314,753842,774737,792831,807643,818288,831197,845047,857174,865622,872564,
394670,809,"Hastings, NE",Msa,NE,145266,147400,150229,151654,153288,154667,156040,156796,157555,158268,159363,162183
394730,810,"Juneau, AK",Msa,AK,414024,415686,418026,420601,423517,426091,428393,430537,432967,435172,437091,
394310,811,"Albert Lea, MN",Msa,MN,124490,126232,128200,131258,134242,137229,138825,140492,142047,143403,144107,146127
394786,812,"Lewisburg, TN",Msa,TN,201460,203821,205876,208617,211520,214821,218427,222150,226747,232133,238033,245600
394708,813,"Iron Mountain, MI",Msa,MI,123618,125479,127754,129339,131235,133115,134890,136226,137519,138446,139162,140930
394795,814,"Lincoln, IL",Msa,IL,98891,99980,101102,101928,102657,103602,104327,105317,106240,106973,107272,107960
394725,815,"Jesup, GA",Msa,GA,128426,130454,132824,134484,136069,137769,139444,141019,142595,143724,144729,
394751,816,"Kirksville, MO",Msa,MO,,128711,131281,132785,134396,135732,137190,138479,139650,140319,140867,142558
394320,818,"Alpena, MI",Msa,MI,109249,110767,112624,113982,115287,116579,117947,119481,120928,122345,123450,125588
395100,819,"Silver City, NM",Msa,NM,146195,148104,149768,150702,151792,153393,154128,155104,156046,156678,156688,
394706,820,"Indianola, MS",Msa,MS,68029,69455,70807,72081,72813,73967,74336,74693,74618,75133,75362,76441
753879,821,"Elkins, WV",Msa,WV,95939,96863,98101,99283,99856,100488,100896,101340,101648,101870,102247,
394774,822,"Las Vegas, NM",Msa,NM,168039,170176,172494,173918,175399,176818,177967,179933,181514,183465,184122,
394846,823,"McPherson, KS",Msa,KS,166516,169034,172045,174024,175780,177549,179011,180688,181951,183436,183809,185338
395093,824,"Sheridan, WY",Msa,WY,301601,305614,309560,312291,314890,318007,321073,323918,326529,328478,330134,
395206,825,"Washington Court House, OH",Msa,OH,128493,130532,132721,134205,135630,137303,139017,140949,142736,144069,145075,147446
394381,826,"Bennettsville, SC",Msa,SC,57994,58424,57848,57337,56906,57480,57881,58132,58542,59509,60574,
395185,827,"Van Wert, OH",Msa,OH,112160,113758,115391,116348,117323,118502,119614,120794,122011,123013,123681,125618
394853,828,"Merrill, WI",Msa,WI,141745,143687,145672,147069,148585,150259,151916,153446,154987,156347,157232,159667
753901,829,"Ludington, MI",Msa,MI,163665,166019,168339,170083,171564,173600,175518,177739,179884,181712,182681,185447
394858,830,"Middlesborough, KY",Msa,KY,59394,59879,60375,60905,61576,62293,63081,63837,64618,65423,66029,
394508,831,"Crescent City, CA",Msa,CA,274122,280329,286442,289817,293035,297320,301636,306618,312453,316344,319606,323394
394921,832,"North Vernon, IN",Msa,IN,,140074,143023,144655,145780,146853,147357,148352,149264,150617,151821,154164
394673,833,"Hays, KS",Msa,KS,184073,186275,189053,190779,192152,193224,194535,196099,197579,199187,200013,201519
394601,834,"Forrest City, AR",Msa,AR,53861,54930,55876,56401,56954,57344,57812,58200,58741,59183,59486,60424
394606,835,"Fort Morgan, CO",Msa,CO,,247400,253338,257692,261518,265488,269206,273506,277486,281061,283497,288541
394864,836,"Mineral Wells, TX",Msa,TX,,137314,140289,141986,144556,146913,149366,150939,152510,153683,154615,
